EPICID Teff logg
248526013.000000 4142.837400 4.630700
213508874.000000 4212.159700 4.467300
220231988.000000 4036.320600 4.625300
245921548.000000 4233.243000 4.549600
246773415.000000 4128.932600 4.370200
206013238.000000 3726.087600 4.526800
249112324.000000 3905.131800 4.282100
212311832.000000 3797.936000 4.448200
246822724.000000 3639.085400 4.045200
205948478.000000 3435.717300 4.099000
246048450.000000 4168.116000 4.558500
203092824.000000 4168.917000 4.225700
202699293.000000 4079.902800 4.255800
251608983.000000 3871.563000 4.572800
212303782.000000 3984.939000 4.531400
202083781.000000 3639.451000 4.118700
210488561.000000 4117.477000 4.663500
228750455.000000 4140.375000 4.521200
213417865.000000 4243.387700 4.680100
213710432.000000 3167.598000 4.032000
210408447.000000 4137.239700 4.229100
212218456.000000 4193.931000 4.663400
248427856.000000 4246.175000 4.644100
212286010.000000 4115.380000 4.580900
202068390.000000 4126.379000 4.681700
228723814.000000 4244.184600 4.658500
246899778.000000 3950.480200 4.691500
220222985.000000 4148.723000 4.646400
201211635.000000 4200.348000 4.693100
221262780.000000 3794.937000 4.556800
213883624.000000 3133.585400 4.321000
246717009.000000 4134.510300 4.445300
211442801.000000 3621.511500 4.174000
202787821.000000 3590.609400 4.047700
205919074.000000 4193.800000 4.676400
220178623.000000 4162.422400 4.372000
201160813.000000 4205.687500 4.606400
210397161.000000 4037.007600 4.611300
206023179.000000 4045.349000 4.674300
202724532.000000 3749.202100 4.015500
238018865.000000 3637.325700 4.312400
249144433.000000 4019.488500 4.342400
202068373.000000 3800.818600 4.568200
220177729.000000 4223.415000 4.302200
245928811.000000 4137.403000 4.651000
251365170.000000 3705.865200 4.381200
212312325.000000 3807.463900 4.674600
212378715.000000 4183.601600 4.474100
211326687.000000 3645.502000 4.628800
211350170.000000 4098.868700 4.690100
213352249.000000 3926.687500 4.742300
210387006.000000 3946.922900 4.688400
220158092.000000 3813.415000 4.658200
246802443.000000 3599.038000 4.182600
246083453.000000 3987.871300 4.737500
246825172.000000 3674.390400 4.030800
211442324.000000 4133.620600 4.466300
212195645.000000 3846.526400 4.658500
201134718.000000 4089.266800 4.481100
205952809.000000 3816.801800 4.335100
210432197.000000 4001.878700 4.670200
220182529.000000 4106.756300 4.631200
251365173.000000 3538.409400 4.614700
211404177.000000 4175.571000 4.663700
251580674.000000 4123.922000 4.655500
210411019.000000 3906.791500 4.756700
210482162.000000 4080.339600 4.693500
202067513.000000 3537.739500 4.413100
203013984.000000 3430.611600 4.248300
201132518.000000 4217.242700 4.465000
251586749.000000 4009.734000 4.112100
202065332.000000 3533.975600 4.578300
202947027.000000 3742.422000 4.694400
246000563.000000 3663.912000 4.449400
212207670.000000 3902.007300 4.720000
210406965.000000 4032.019500 4.675000
205916737.000000 4139.530000 4.668700
205916793.000000 4241.413000 4.659200
203017692.000000 3599.494400 4.270400
212880847.000000 3750.890100 4.568800
201254485.000000 4001.863300 4.700400
251604820.000000 3609.257600 4.045800
202853972.000000 3418.675000 4.206800
246016996.000000 4216.766000 4.481300
205935619.000000 3703.428700 4.760200
248438786.000000 4064.046900 4.692100
203371909.000000 3483.482700 4.487300
201206565.000000 4073.907000 4.671800
248468121.000000 3821.785600 4.694700
211304781.000000 4222.863300 4.659300
248433966.000000 4126.909000 4.640000
228744112.000000 3588.806200 4.532800
202710503.000000 3529.865000 4.351900
212298565.000000 4066.705000 4.665700
203013195.000000 3468.899000 4.401300
210357660.000000 4189.363300 4.508800
246851148.000000 4209.841000 4.671500
211319386.000000 3945.239700 4.283800
248482146.000000 3819.210200 4.701300
251587076.000000 4201.510700 4.502900
211358714.000000 3700.496000 4.327300
203336842.000000 3421.544000 4.392000
220195228.000000 3991.586200 4.279000
248436349.000000 4029.822300 4.679400
246035494.000000 3648.298800 4.310200
202790830.000000 3486.685300 4.182200
210372124.000000 3830.774000 4.572400
211319981.000000 3771.377000 4.532300
251631282.000000 4209.471000 4.321200
211348741.000000 4159.873000 4.392600
202555014.000000 3805.978000 4.603700
201079388.000000 3648.623300 4.034500
220143498.000000 4197.089000 4.640700
202819083.000000 3701.290500 4.567900
246782039.000000 4199.956000 4.665900
246068774.000000 3762.862800 4.712300
203001378.000000 3524.580800 4.520600
249331590.000000 3473.672600 4.281100
201185146.000000 3548.934000 4.650700
245979230.000000 4171.117000 4.641500
220211740.000000 3724.474000 4.558700
248418109.000000 3904.645300 4.729600
220198890.000000 4213.410600 4.533000
246701077.000000 3761.179400 4.571400
251605565.000000 3876.952600 4.657200
211346275.000000 3885.298300 4.285400
205908169.000000 4238.228500 4.634800
211340499.000000 4097.496000 4.685700
246011624.000000 3738.604700 4.686900
213439082.000000 4103.376000 4.662400
245934259.000000 3822.891600 4.426500
202634644.000000 3707.395500 4.617300
201226609.000000 4181.537600 4.664500
211309989.000000 3791.584200 4.434200
220211258.000000 4228.711400 4.689900
205942682.000000 3786.213600 4.614400
251397170.000000 3502.876000 4.525900
201160212.000000 4016.698200 4.671800
212294947.000000 4238.903300 4.654400
202067522.000000 3764.670700 4.701400
202068482.000000 3468.324000 4.424500
248890189.000000 4189.961400 4.664500
246650193.000000 3524.137700 4.261300
246825214.000000 3802.298300 4.647900
220212372.000000 4198.868000 4.661400
210387836.000000 3191.351800 4.982200
213537555.000000 3667.240500 4.202400
203059545.000000 3790.672600 4.451700
202879519.000000 3477.196500 4.259000
251582596.000000 4105.059000 4.669000
249256527.000000 4183.094000 4.487500
246776923.000000 3477.830300 4.310700
211309647.000000 3858.912000 4.637300
211329479.000000 3650.775100 4.571500
212376845.000000 3526.068800 4.538300
228727251.000000 3796.985400 4.671700
245976928.000000 4190.412000 4.399100
251583182.000000 3739.914600 4.678600
202704279.000000 3467.315000 4.171700
248443325.000000 3423.392800 4.759700
228736440.000000 4235.637700 4.503000
229145427.000000 3695.487800 4.710400
211381872.000000 4166.919400 4.666100
220293317.000000 3930.519800 4.629200
248442622.000000 4173.114300 4.269300
246794989.000000 3997.900000 4.695400
212332689.000000 4089.471200 4.653200
249253853.000000 3882.665000 4.660200
210342315.000000 3534.515000 4.402700
246756124.000000 3705.472700 4.347500
201497943.000000 3824.665300 4.699700
210480526.000000 3476.204000 4.707900
251605498.000000 4121.038600 4.665100
220209793.000000 4213.188500 4.668700
220175502.000000 4201.330600 4.581000
220241596.000000 3433.611000 4.622600
212301612.000000 3869.982000 4.633300
246028525.000000 3827.639600 4.713100
211377299.000000 3672.226800 4.769800
228734538.000000 4190.339000 4.663300
206029732.000000 4077.151100 4.691600
201504160.000000 3921.515100 4.506000
248443986.000000 4163.761700 4.674700
205924604.000000 3656.427200 4.228400
210393892.000000 3974.860000 4.703000
201148702.000000 3588.272200 4.804000
246005802.000000 3826.509300 4.666900
220202718.000000 3609.047600 4.449500
210475069.000000 3548.018600 4.423900
202872570.000000 3375.917700 4.415000
202983384.000000 3514.182400 4.772800
205935708.000000 4210.830000 4.660200
211314705.000000 3607.449000 4.778700
202676865.000000 3410.644300 4.401300
210362220.000000 4183.234400 4.676500
248455319.000000 3525.993400 4.716600
210331848.000000 3726.740200 4.494300
249234200.000000 4184.008300 4.423900
205917338.000000 4226.611300 4.218900
245935097.000000 4054.135300 4.089600
245964104.000000 3951.445300 4.720700
246685919.000000 3863.056000 4.546200
251607652.000000 4112.195300 4.336700
245929602.000000 3838.228000 4.433600
201184549.000000 3709.150100 4.770400
202791563.000000 3359.504000 4.461900
245921140.000000 4170.510300 4.559200
245951899.000000 4165.563000 4.541700
246861302.000000 3679.976300 4.327900
228705654.000000 3636.471200 4.631000
249120441.000000 3799.802500 4.701600
220163123.000000 3990.931000 4.744800
248437261.000000 3563.009300 4.753800
251382037.000000 3533.576000 4.736100
206018389.000000 3799.775400 4.695800
213651634.000000 3379.696800 4.858200
228718996.000000 4019.493000 4.436900
246701470.000000 4136.122000 4.567100
202844181.000000 3548.119900 4.825900
212211957.000000 4165.160600 4.608700
220180261.000000 3795.151600 4.478100
205911796.000000 4242.500500 4.685600
246705139.000000 3596.292700 4.660000
201379946.000000 3699.789300 4.462200
228753854.000000 3777.452100 4.676700
251629843.000000 4160.827600 4.239800
210318134.000000 3645.504000 4.695000
211345931.000000 4001.285600 4.715700
211440939.000000 3846.598100 4.697400
212210048.000000 3515.243700 4.777700
228743968.000000 3525.459200 4.676600
202568401.000000 3541.312700 4.734900
202563133.000000 3748.957000 4.594800
251628262.000000 3654.848000 4.792500
212284520.000000 3548.603000 4.679000
228758383.000000 3704.897000 4.478400
246676629.000000 3517.931000 4.176800
211313038.000000 4156.448700 4.642400
251608910.000000 4135.918000 4.496500
251376171.000000 4124.893000 4.678500
251364386.000000 4211.001000 4.662000
248482116.000000 3747.123800 4.705500
246787031.000000 3556.669400 4.740200
206033589.000000 4033.244000 4.655200
202083621.000000 3796.293500 4.368400
212226216.000000 3776.909000 4.569900
