,TIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase
0, TIC 173163511,4142.84,4.63,2,101.69043112861414,0.25695415388713627,0.43751215103247887,0.07639615674179367,0.6984114646911621,0.857245922088623,0.5395770072937012
1, TIC 323021985,4212.16,4.47,2,55.832783586499545,0.6666740982276451,0.7500080412553416,0.5833401551999486,13.407939672470093,14.323341846466064,12.492537498474121
2, TIC 138660274,4036.32,4.63,7,131.1448421118007,0.0803561922868669,0.3124984780561135,0.027777183007401618,176.35313783373152,947.1732139587402,0.5158305168151855
3, TIC 9632627,4233.24,4.55,21,188.42648142098255,0.1140882828607833,0.45834364788606763,0.02777788253933977,-3658.8567008535015,27120.047552005093,-43320.346272200026
4, TIC 87755490,4128.93,4.37,7,80.35485504258804,0.060515203514699224,0.09027683392014296,0.027777481722296216,4.860113348279681,11.143720149993896,1.2417197227478027
5, TIC 130717078,3726.09,4.53,10,155.89479710982255,0.11389121210827398,0.38888901288646593,0.02777976447578112,104.85298156738281,1026.718521118164,0.8523821830749512
6, TIC 23681461,3905.13,4.28,1,26.687932590687524,0.29167593461352226,0.29167593461352226,0.29167593461352226,7.269394397735596,7.269394397735596,7.269394397735596
7, TIC 152773057,3797.94,4.45,13,125.53375453809417,0.3002211669033841,1.7152828789357955,0.02777845792934386,22.380228226001446,207.93418884277344,1.0739684104919434
8, TIC 188580163,3639.09,4.05,17,262.77526201769456,0.09068516558885248,0.20833282498642802,0.027777864283962117,3402.804865395551,54644.172512273486,0.7812738418579102
9, TIC 380166444,3435.72,4.1,11,175.3185245386362,0.40910748042434036,1.2291778959477142,0.034725611154954095,148.43100309371948,1396.7463493347168,0.4458785057067871
10, TIC 38143679,4168.12,4.56,12,126.80347810596527,0.175936007927343,0.5208846202162931,0.027779769788139674,66.15931689739227,187.95111179351807,2.4413585662841797
11, TIC 385751622,4168.92,4.23,4,87.00016695168392,0.11458203918300569,0.1666656108573079,0.08333252184092999,705447.2412924919,811441.6598704305,598289.364225951
12, TIC 389018999,4079.9,4.26,17,305.17078558339927,0.10498442326201364,0.37498878217979836,0.02777728760838727,-4185.514495225584,12897.223652004059,-50696.200362273295
13, TIC 110976189,3871.56,4.57,1,50.08278663683109,0.08333411387798151,0.08333411387798151,0.08333411387798151,0.776362419128418,0.776362419128418,0.776362419128418
14, TIC 23761522,3984.94,4.53,2,53.02170130526838,0.07986366847808313,0.12500400061890105,0.03472333633726521,4.901188611984253,7.461357116699219,2.341020107269287
15, TIC 114958811,3639.45,4.12,20,79.36398685263634,0.11979310231109822,0.2916762814811591,0.027777686309036653,317.22060918807983,3789.8902893066406,1.49000883102417
16, TIC 277812260,4117.48,4.66,16,223.73379870631538,0.15061441178986001,0.5416890067040185,0.02778020598407238,185.89555621147156,1087.304973602295,0.7406115531921387
17, TIC 169683436,4140.38,4.52,6,77.95888680697271,0.27431089354024607,0.895841378875275,0.0833359214536813,17.06784963607788,35.66000461578369,2.1941184997558594
18, TIC 388735741,4243.39,4.68,3,53.75067446626849,0.145837274078076,0.2291744857325284,0.08333607901863616,2417.397658030192,7146.596527099609,6.177842617034912
19, TIC 435925357,3167.6,4.03,10,305.2701614552643,0.12083561877864213,0.35417663399130106,0.027777450088706246,4739.644923696996,46699.74693105218,-500.32714893065526
20, TIC 117413911,4137.24,4.23,12,204.71365996736563,0.44621898399568255,1.3056453761896591,0.027780598635217757,75.13081232706706,595.3807830810547,0.8659839630126953
