level_0,index,TIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase,Flares per hour,Flares per day,RA,Dec
0,0,173163511,4142.84,4.63,2,101.69043112861414,0.2569541538871362,0.4375121510324788,0.0763961567417936,0.6984114646911621,0.857245922088623,0.5395770072937012,0.0008194805785407,0.0196675338849776,153.4205515,3.911694882
1,1,323021985,4212.16,4.47,2,55.832783586499545,0.6666740982276451,0.7500080412553416,0.5833401551999486,13.407939672470093,14.323341846466064,12.49253749847412,0.0014925520094162,0.0358212482259903,286.2068112,-29.17695739
2,2,138660274,4036.32,4.63,7,131.1448421118007,0.0803561922868669,0.3124984780561135,0.0277771830074016,176.35313783373152,947.1732139587402,0.5158305168151855,0.0022240041008858,0.0533760984212594,18.84456661,1.123720932
3,3,9632627,4233.24,4.55,21,188.42648142098253,0.1140882828607833,0.4583436478860676,0.0277778825393397,-3658.8567008535015,27120.047552005093,-43320.346272200026,0.004643720953665,0.1114493028879618,352.7254707,-12.1608028
4,4,87755490,4128.93,4.37,7,80.35485504258804,0.0605152035146992,0.0902768339201429,0.0277774817222962,4.860113348279681,11.143720149993896,1.2417197227478027,0.0036297329702366,0.087113591285679,75.20543434,15.44993259
5,5,130717078,3726.09,4.53,10,155.89479710982255,0.1138912121082739,0.3888890128864659,0.0277797644757811,104.8529815673828,1026.718521118164,0.8523821830749512,0.0026727426084216,0.0641458226021189,342.9654847,-14.44414487
6,6,23681461,3905.13,4.28,1,26.687932590687524,0.2916759346135222,0.2916759346135222,0.2916759346135222,7.269394397735596,7.269394397735596,7.269394397735596,0.0015612549426629,0.0374701186239109,234.7788209,-26.77577578
7,7,152773057,3797.94,4.45,13,125.53375453809416,0.3002211669033841,1.7152828789357957,0.0277784579293438,22.38022822600145,207.93418884277344,1.0739684104919434,0.0043149085173127,0.1035578044155052,204.9234742,-17.18138054
8,8,188580163,3639.09,4.05,17,262.77526201769456,0.0906851655888524,0.208332824986428,0.0277778642839621,3402.804865395551,54644.172512273486,0.7812738418579102,0.0026955860604779,0.0646940654514703,77.03768775,15.9810882
9,9,380166444,3435.72,4.1,11,175.3185245386362,0.4091074804243403,1.2291778959477142,0.034725611154954,148.43100309371948,1396.7463493347168,0.4458785057067871,0.0026142892460421,0.0627429419050115,340.2946839,-16.41910508
10,10,38143679,4168.12,4.56,12,126.80347810596528,0.175936007927343,0.5208846202162931,0.0277797697881396,66.15931689739227,187.95111179351807,2.44135856628418,0.0039431095066822,0.0946346281603728,357.79091,-8.291628886
