TICID,Teff,logg
 TIC 173163511, 4142.84, 4.63
 TIC 323021985, 4212.16, 4.47
 TIC 138660274, 4036.32, 4.63
 TIC 9632627, 4233.24, 4.55
 TIC 87755490, 4128.93, 4.37
 TIC 130717078, 3726.09, 4.53
 TIC 23681461, 3905.13, 4.28
 TIC 152773057, 3797.94, 4.45
 TIC 188580163, 3639.09, 4.05
 TIC 380166444, 3435.72, 4.10
 TIC 38143679, 4168.12, 4.56
 TIC 385751622, 4168.92, 4.23
 TIC 389018999, 4079.90, 4.26
 TIC 110976189, 3871.56, 4.57
 TIC 23761522, 3984.94, 4.53
 TIC 114958811, 3639.45, 4.12
 TIC 277812260, 4117.48, 4.66
 TIC 169683436, 4140.38, 4.52
 TIC 388735741, 4243.39, 4.68
 TIC 435925357, 3167.60, 4.03
 TIC 117413911, 4137.24, 4.23
 TIC 436572652, 4193.93, 4.66
 TIC 185686675, 4246.18, 4.64
 TIC 396743074, 4115.38, 4.58
 TIC 130725798, 4126.38, 4.68
 TIC 245866832, 4244.18, 4.66
 TIC 168304196, 3950.48, 4.69
 TIC 169683807, 4148.72, 4.65
 TIC 203213314, 4200.35, 4.69
 TIC 366564791, 3794.94, 4.56
 TIC 168035517, 3133.59, 4.32
 TIC 61099157, 4134.51, 4.45
 TIC 344301577, 3621.51, 4.17
 TIC 152740072, 3590.61, 4.05
 TIC 438335026, 4193.80, 4.68
 TIC 66765927, 4162.42, 4.37
 TIC 14326004, 4205.69, 4.61
 TIC 27650664, 4037.01, 4.61
 TIC 150824465, 4045.35, 4.67
 TIC 106574245, 3749.20, 4.02
 TIC 458682991, 3637.33, 4.31
 TIC 43686586, 4019.49, 4.34
 TIC 411748581, 3800.82, 4.57
 TIC 202965402, 4223.41, 4.30
 TIC 444013674, 4137.40, 4.65
 TIC 4582629, 3705.87, 4.38
 TIC 411691971, 3807.46, 4.67
 TIC 389168412, 4183.60, 4.47
 TIC 366576533, 3645.50, 4.63
 TIC 284852140, 4098.87, 4.69
 TIC 98719666, 3926.69, 4.74
 TIC 248344651, 3946.92, 4.69
 TIC 293511639, 3813.41, 4.66
 TIC 287028149, 3599.04, 4.18
 TIC 399673347, 3987.87, 4.74
 TIC 380195512, 3674.39, 4.03
 TIC 98591425, 4133.62, 4.47
 TIC 366410094, 3846.53, 4.66
 TIC 168689357, 4089.27, 4.48
 TIC 281726403, 3816.80, 4.34
 TIC 23508660, 4001.88, 4.67
 TIC 130716802, 4106.76, 4.63
 TIC 436723472, 3538.41, 4.61
 TIC 176937880, 4175.57, 4.66
 TIC 411748342, 4123.92, 4.66
 TIC 411748673, 3906.79, 4.76
 TIC 294318951, 4080.34, 4.69
 TIC 27682900, 3537.74, 4.41
 TIC 111012853, 3430.61, 4.25
 TIC 12857978, 4217.24, 4.46
 TIC 334994723, 4009.73, 4.11
 TIC 434226319, 3533.98, 4.58
 TIC 9707680, 3742.42, 4.69
 TIC 8962325, 3663.91, 4.45
 TIC 435332777, 3902.01, 4.72
 TIC 392460351, 4032.02, 4.67
 TIC 437030379, 4139.53, 4.67
 TIC 366355013, 4241.41, 4.66
 TIC 152868600, 3599.49, 4.27
 TIC 429301398, 3750.89, 4.57
 TIC 389019080, 4001.86, 4.70
 TIC 366526205, 3609.26, 4.05
 TIC 366355070, 3418.68, 4.21
 TIC 399694801, 4216.77, 4.48
 TIC 130726437, 3703.43, 4.76
 TIC 12819720, 4064.05, 4.69
 TIC 248342826, 3483.48, 4.49
 TIC 468992773, 4073.91, 4.67
 TIC 203248644, 3821.79, 4.69
 TIC 168148329, 4222.86, 4.66
 TIC 248380495, 4126.91, 4.64
 TIC 366410156, 3588.81, 4.53
 TIC 23343859, 3529.86, 4.35
 TIC 38160960, 4066.70, 4.67
 TIC 98753821, 3468.90, 4.40
 TIC 293890350, 4189.36, 4.51
 TIC 290055475, 4209.84, 4.67
 TIC 98671079, 3945.24, 4.28
 TIC 168688550, 3819.21, 4.70
 TIC 98664556, 4201.51, 4.50
 TIC 60284406, 3700.50, 4.33
 TIC 2527561, 3421.54, 4.39
 TIC 173109331, 3991.59, 4.28
 TIC 98677199, 4029.82, 4.68
 TIC 186853232, 3648.30, 4.31
 TIC 130691883, 3486.69, 4.18
 TIC 396733648, 3830.77, 4.57
 TIC 126317117, 3771.38, 4.53
 TIC 49710987, 4209.47, 4.32
 TIC 404434391, 4159.87, 4.39
 TIC 438101944, 3805.98, 4.60
 TIC 366500042, 3648.62, 4.03
 TIC 152701780, 4197.09, 4.64
 TIC 175697440, 3701.29, 4.57
 TIC 357445986, 4199.96, 4.67
 TIC 423610835, 3762.86, 4.71
 TIC 32425847, 3524.58, 4.52
 TIC 9098086, 3473.67, 4.28
 TIC 242968769, 3548.93, 4.65
 TIC 186812773, 4171.12, 4.64
 TIC 192497869, 3724.47, 4.56
 TIC 9726864, 3904.65, 4.73
 TIC 392328956, 4213.41, 4.53
 TIC 468993012, 3761.18, 4.57
 TIC 117296362, 3876.95, 4.66
 TIC 6859688, 3885.30, 4.29
 TIC 366623403, 4238.23, 4.63
 TIC 248377917, 4097.50, 4.69
 TIC 366481074, 3738.60, 4.69
 TIC 436563193, 4103.38, 4.66
 TIC 287335599, 3822.89, 4.43
 TIC 459055908, 3707.40, 4.62
 TIC 366444549, 4181.54, 4.66
 TIC 390999942, 3791.58, 4.43
 TIC 6992442, 4228.71, 4.69
 TIC 335007805, 3786.21, 4.61
 TIC 59130344, 3502.88, 4.53
 TIC 176879166, 4016.70, 4.67
 TIC 176940571, 4238.90, 4.65
 TIC 4619653, 3764.67, 4.70
 TIC 8996075, 3468.32, 4.42
 TIC 168150585, 4189.96, 4.66
 TIC 386589191, 3524.14, 4.26
 TIC 399151986, 3802.30, 4.65
 TIC 20495115, 4198.87, 4.66
 TIC 152853776, 3191.35, 4.98
 TIC 366443626, 3667.24, 4.20
 TIC 437701420, 3790.67, 4.45
 TIC 98642922, 3477.20, 4.26
 TIC 152827677, 4105.06, 4.67
 TIC 188569782, 4183.09, 4.49
 TIC 49785569, 3477.83, 4.31
 TIC 157844152, 3858.91, 4.64
 TIC 333603079, 3650.78, 4.57
 TIC 357512699, 3526.07, 4.54
 TIC 130718161, 3796.99, 4.67
 TIC 9698999, 4190.41, 4.40
 TIC 175697359, 3739.91, 4.68
 TIC 175752341, 3467.32, 4.17
 TIC 357513885, 3423.39, 4.76
 TIC 422335187, 4235.64, 4.50
 TIC 168148783, 3695.49, 4.71
 TIC 399152135, 4166.92, 4.67
 TIC 308212384, 3930.52, 4.63
 TIC 389052579, 4173.11, 4.27
 TIC 130726366, 3997.90, 4.70
 TIC 311365639, 4089.47, 4.65
 TIC 9697936, 3882.66, 4.66
 TIC 49687126, 3534.51, 4.40
 TIC 307805449, 3705.47, 4.35
 TIC 168152477, 3824.67, 4.70
 TIC 79727868, 3476.20, 4.71
 TIC 130714159, 4121.04, 4.67
 TIC 126319289, 4213.19, 4.67
 TIC 225953216, 4201.33, 4.58
 TIC 293470795, 3433.61, 4.62
 TIC 48481424, 3869.98, 4.63
 TIC 7061049, 3827.64, 4.71
 TIC 168152423, 3672.23, 4.77
 TIC 245869914, 4190.34, 4.66
 TIC 152802543, 4077.15, 4.69
 TIC 176939228, 3921.52, 4.51
 TIC 392101639, 4163.76, 4.67
 TIC 168685417, 3656.43, 4.23
 TIC 66780141, 3974.86, 4.70
 TIC 110996515, 3588.27, 4.80
 TIC 281660002, 3826.51, 4.67
 TIC 357445854, 3609.05, 4.45
 TIC 458685787, 3548.02, 4.42
 TIC 2673117, 3375.92, 4.42
 TIC 168305231, 3514.18, 4.77
 TIC 399722684, 4210.83, 4.66
 TIC 152829072, 3607.45, 4.78
 TIC 422289950, 3410.64, 4.40
 TIC 281660401, 4183.23, 4.68
 TIC 366444703, 3525.99, 4.72
 TIC 168689077, 3726.74, 4.49
 TIC 293838206, 4184.01, 4.42
 TIC 303596329, 4226.61, 4.22
 TIC 98594419, 4054.14, 4.09
 TIC 281705977, 3951.45, 4.72
 TIC 287331740, 3863.06, 4.55
 TIC 443971059, 4112.20, 4.34
 TIC 117162537, 3838.23, 4.43
 TIC 436616166, 3709.15, 4.77
 TIC 115008454, 3359.50, 4.46
 TIC 294301951, 4170.51, 4.56
 TIC 198535645, 4165.56, 4.54
 TIC 357492916, 3679.98, 4.33
 TIC 168438330, 3636.47, 4.63
 TIC 98676149, 3799.80, 4.70
 TIC 422335343, 3990.93, 4.74
 TIC 245820082, 3563.01, 4.75
 TIC 285004644, 3533.58, 4.74
 TIC 437327178, 3799.78, 4.70
 TIC 168444570, 3379.70, 4.86
 TIC 346038051, 4019.49, 4.44
 TIC 98594317, 4136.12, 4.57
 TIC 366437895, 3548.12, 4.83
 TIC 456887882, 4165.16, 4.61
 TIC 436580913, 3795.15, 4.48
 TIC 458656077, 4242.50, 4.69
 TIC 336956845, 3596.29, 4.66
 TIC 438292042, 3699.79, 4.46
 TIC 115011160, 3777.45, 4.68
 TIC 176938833, 4160.83, 4.24
 TIC 98594327, 3645.50, 4.70
 TIC 130725501, 4001.29, 4.72
 TIC 277798951, 3846.60, 4.70
 TIC 176938775, 3515.24, 4.78
 TIC 115011285, 3525.46, 4.68
 TIC 168439939, 3541.31, 4.73
 TIC 23509027, 3748.96, 4.59
 TIC 2532126, 3654.85, 4.79
 TIC 9099012, 3548.60, 4.68
 TIC 290037621, 3704.90, 4.48
 TIC 117419304, 3517.93, 4.18
 TIC 197249205, 4156.45, 4.64
 TIC 243015214, 4135.92, 4.50
 TIC 308181178, 4124.89, 4.68
 TIC 117166224, 4211.00, 4.66
 TIC 38141851, 3747.12, 4.71
 TIC 98674039, 3556.67, 4.74
 TIC 405673100, 4033.24, 4.66
 TIC 168033046, 3796.29, 4.37
 TIC 290055373, 3776.91, 4.57
 TIC 443609287, 3572.99, 4.64
 TIC 168305494, 4205.12, 4.66
 TIC 404420997, 3551.98, 4.73
 TIC 357493222, 4182.11, 4.32
 TIC 374272821, 4014.20, 4.72
 TIC 434239028, 4136.62, 4.67
 TIC 192461080, 4216.85, 4.44
 TIC 176910328, 3755.60, 4.67
 TIC 168438827, 3509.39, 4.23
 TIC 61099118, 3474.28, 4.83
 TIC 38141949, 3402.70, 4.13
 TIC 176938792, 4226.57, 4.22
 TIC 374312254, 4112.01, 4.63
 TIC 399123943, 4123.49, 4.67
 TIC 151513759, 4210.90, 4.52
 TIC 225889510, 3516.51, 4.70
 TIC 422335428, 4223.14, 4.44
 TIC 152827696, 3686.08, 4.34
 TIC 157838189, 3802.56, 4.66
 TIC 168546043, 3732.84, 4.74
 TIC 9003347, 3900.78, 4.65
 TIC 277747956, 3442.85, 4.74
 TIC 49674937, 3827.29, 4.69
 TIC 9005861, 3698.77, 4.74
 TIC 366354428, 4196.37, 4.67
 TIC 287331845, 3663.76, 4.77
 TIC 186695916, 4061.45, 4.44
 TIC 334994926, 3389.15, 4.67
 TIC 345061487, 3511.80, 4.57
 TIC 388801896, 4211.77, 4.69
 TIC 111015006, 4144.61, 4.62
 TIC 294318508, 4249.23, 4.50
 TIC 168152065, 4045.50, 4.67
 TIC 168548101, 4177.17, 4.56
 TIC 293891048, 3609.01, 4.49
 TIC 49557258, 4199.09, 4.55
 TIC 9029987, 3989.59, 4.68
 TIC 115078744, 3576.81, 4.30
 TIC 281724361, 4248.67, 4.64
 TIC 248387232, 3578.69, 4.79
 TIC 175752924, 3718.55, 4.72
 TIC 434131962, 4222.70, 4.38
 TIC 411698363, 3702.53, 4.48
 TIC 436662261, 4228.00, 4.65
 TIC 392320837, 3558.13, 4.00
 TIC 157843141, 4133.09, 4.49
 TIC 188569804, 3726.25, 4.72
 TIC 168149724, 3531.77, 4.83
 TIC 175698545, 3847.51, 4.75
 TIC 168551577, 3601.66, 4.40
 TIC 202610202, 3143.20, 4.51
 TIC 168149054, 3699.95, 4.52
 TIC 98642363, 4196.32, 4.66
 TIC 402313145, 3522.76, 4.68
 TIC 277811053, 4113.56, 4.42
 TIC 458656217, 3801.13, 4.63
 TIC 175590376, 3489.85, 4.40
 TIC 380943250, 3326.08, 4.60
 TIC 38116411, 4243.99, 4.57
 TIC 9726127, 3418.08, 4.41
 TIC 157843445, 3655.64, 4.51
 TIC 38138471, 3889.83, 4.72
 TIC 98641889, 3745.95, 4.64
 TIC 311365860, 3941.07, 4.33
 TIC 399151155, 4056.04, 4.67
 TIC 23379580, 3545.00, 4.85
 TIC 422289979, 3985.33, 4.40
 TIC 38159818, 3860.28, 4.73
 TIC 82049557, 3777.90, 4.67
 TIC 38115548, 4042.91, 4.67
 TIC 98628378, 3317.77, 4.48
 TIC 414967280, 4218.92, 4.42
 TIC 23628986, 3426.27, 4.81
 TIC 459056066, 3529.58, 4.71
 TIC 23201319, 4166.26, 4.70
 TIC 293829711, 3995.54, 4.67
 TIC 277747998, 4249.02, 4.65
 TIC 100024516, 3326.55, 4.69
 TIC 392328780, 3989.29, 4.43
 TIC 138709065, 3649.19, 4.48
 TIC 86105459, 3800.09, 4.71
 TIC 114958688, 3650.09, 4.20
 TIC 98673987, 3647.82, 4.23
 TIC 411692039, 3712.69, 4.73
 TIC 175754069, 4235.04, 4.52
 TIC 98641827, 3653.47, 4.73
 TIC 392320717, 4156.65, 4.66
 TIC 9004275, 3708.26, 4.75
 TIC 49429273, 3535.32, 4.76
 TIC 61098324, 4082.16, 4.54
 TIC 242991084, 3620.39, 4.74
 TIC 8990215, 3534.15, 4.79
 TIC 293637271, 3647.12, 4.78
 TIC 307017925, 3544.60, 4.36
 TIC 438228719, 3791.43, 4.70
 TIC 49462605, 4219.28, 4.64
 TIC 423612144, 4124.98, 4.69
 TIC 291090207, 3468.14, 4.58
 TIC 277876832, 4200.69, 4.69
 TIC 185467487, 3527.70, 4.63
 TIC 66765475, 3530.15, 4.57
 TIC 135882303, 3845.63, 4.63
 TIC 411839194, 3857.65, 4.32
 TIC 117275128, 4043.60, 4.71
 TIC 294302148, 4216.37, 4.59
 TIC 293609128, 4118.80, 4.67
 TIC 173089995, 4199.88, 4.68
 TIC 49711020, 4198.52, 4.65
 TIC 53190651, 3483.74, 4.87
 TIC 458655020, 4218.83, 4.48
 TIC 53207396, 4232.56, 4.20
 TIC 380672552, 3361.90, 4.83
 TIC 800381314, 4084.82, 4.67
 TIC 66779431, 3728.23, 4.28
 TIC 49426931, 3773.98, 4.68
 TIC 347810978, 4115.09, 4.68
 TIC 49785615, 4100.29, 4.64
 TIC 323014543, 3849.05, 4.64
 TIC 157836622, 3820.64, 4.69
 TIC 436639951, 3681.53, 4.80
 TIC 437335810, 3766.91, 4.64
 TIC 293612828, 3713.53, 4.78
 TIC 85910885, 3881.30, 4.28
 TIC 357413643, 3581.56, 4.73
 TIC 115010523, 3947.84, 4.59
 TIC 436732040, 3566.81, 4.85
 TIC 168154332, 3325.46, 4.42
 TIC 366526884, 3538.30, 4.78
 TIC 173109431, 4200.12, 4.40
 TIC 152852233, 4069.57, 4.66
 TIC 285005031, 3378.57, 4.67
 TIC 61098280, 3375.04, 4.41
 TIC 176940584, 3552.94, 4.65
 TIC 277798409, 3845.04, 4.72
 TIC 9726881, 3574.07, 4.10
 TIC 293696773, 3581.16, 4.75
 TIC 277877066, 3428.50, 4.65
 TIC 366623243, 3715.57, 4.50
 TIC 225797920, 3740.11, 4.67
 TIC 443583038, 3968.75, 4.70
 TIC 392322580, 4014.36, 4.68
 TIC 111012290, 3387.91, 4.09
 TIC 277870732, 4099.90, 4.69
 TIC 157838165, 4124.26, 4.67
 TIC 434260571, 4137.26, 4.65
 TIC 335010512, 3388.35, 4.64
 TIC 66751241, 3820.85, 4.71
 TIC 380886536, 4091.40, 4.67
 TIC 7024797, 3675.39, 4.62
 TIC 201342492, 3659.52, 4.67
 TIC 49529535, 4067.44, 4.68
 TIC 168302911, 3434.12, 4.79
 TIC 392456037, 4098.58, 4.64
 TIC 61099199, 4200.62, 4.65
 TIC 392103497, 3606.23, 4.82
 TIC 389121244, 4200.47, 4.62
 TIC 173103957, 3422.39, 4.81
 TIC 270419347, 3537.60, 4.66
 TIC 392101721, 4028.59, 4.48
 TIC 445956101, 3925.75, 4.66
 TIC 323014268, 3716.95, 4.71
