TICID,RAdeg,DEdeg,Teff,logg
68255276,162.7543984,0.900639778,6072.118,4.184
293830360,57.50544667,12.61212863,6331.269,3.9689
245819988,191.6117574,1.748493411,5904.7773,4.2464
435910664,59.43109384,12.87825143,6142.5195,4.0557
248383125,63.52915165,14.01126295,,
245799490,257.8488993,-30.6311457,5981.2646,4.2548
168820976,202.899418,-17.12879823,6569.8496,4.2493
146163862,289.6374053,-28.98705718,5846.2954,3.1284
366355413,349.2948865,-11.75914737,5828.3945,3.9359
366410249,341.7571614,-15.04119515,6049.8916,4.058
115010633,60.26338067,12.17063588,,
389051511,291.4994605,-29.34624283,5785.762,2.9317
176941311,289.162273,-28.32522525,,
27650749,20.80008356,0.447368594,5959.6514,4.2256
383173091,257.6842463,-30.58440343,,
188569974,73.96490982,15.50042961,,
49690018,56.85850256,13.74651034,6871.7163,3.7391
59091000,131.0673374,25.07576936,6030.2285,3.8832
27654333,128.8390993,10.89732861,8028.7393,3.7319
436661956,264.306411,-29.75687723,5043.8857,2.7903
115078869,75.07501125,15.83001749,5029.554,4.4813
0,157.0142557,1.797347921,6013.517,4.1356
151503029,202.4044211,-1.773210392,,
147745802,54.81817973,12.46737365,6277.0483,3.8522
335041228,124.4126753,13.51003133,6101.4062,3.8998
436566234,18.87147834,0.219862657,5691.8296,4.2983
30911555,356.3442671,-9.38828107,,
435920541,78.13105874,16.77046463,4524.9663,2.1315
245895478,137.7020548,24.17569639,6322.2944,4.1679
205749151,169.4594637,-3.278054302,4737.2534,2.4542
389136129,54.58156862,12.3315953,4726.6055,2.0885
126278130,265.350646,-29.37778912,,
435881929,18.12583208,-0.241048075,6221.242,4.1805
153126934,72.33226821,15.16309771,5523.9834,4.5836
59206049,247.3625706,-28.33711988,,
225884682,58.34817503,12.67917895,,
323181418,258.3682587,-29.16056113,,
168442621,233.8537759,-26.71952036,6486.5015,3.9305
169578947,200.5519208,-15.55418576,,
168441252,339.2030365,-16.03999456,,
293696303,62.54782949,13.67000724,7030.1885,4.0749
443995718,21.87403455,1.142421587,6674.724,4.0017
389008490,348.5557956,-11.97966306,4836.7925,2.7927
82657890,246.7115942,-29.28503649,,
