TICID Teff logg
173163511 4142.837400 4.630700
323021985 4212.159700 4.467300
138660274 4036.320600 4.625300
9632627 4233.243000 4.549600
87755490 4128.932600 4.370200
130717078 3726.087600 4.526800
23681461 3905.131800 4.282100
152773057 3797.936000 4.448200
188580163 3639.085400 4.045200
380166444 3435.717300 4.099000
38143679 4168.116000 4.558500
385751622 4168.917000 4.225700
389018999 4079.902800 4.255800
110976189 3871.563000 4.572800
23761522 3984.939000 4.531400
114958811 3639.451000 4.118700
277812260 4117.477000 4.663500
169683436 4140.375000 4.521200
388735741 4243.387700 4.680100
435925357 3167.598000 4.032000
117413911 4137.239700 4.229100
436572652 4193.931000 4.663400
185686675 4246.175000 4.644100
396743074 4115.380000 4.580900
130725798 4126.379000 4.681700
245866832 4244.184600 4.658500
168304196 3950.480200 4.691500
169683807 4148.723000 4.646400
203213314 4200.348000 4.693100
366564791 3794.937000 4.556800
168035517 3133.585400 4.321000
61099157 4134.510300 4.445300
344301577 3621.511500 4.174000
152740072 3590.609400 4.047700
438335026 4193.800000 4.676400
66765927 4162.422400 4.372000
14326004 4205.687500 4.606400
27650664 4037.007600 4.611300
150824465 4045.349000 4.674300
106574245 3749.202100 4.015500
458682991 3637.325700 4.312400
43686586 4019.488500 4.342400
411748581 3800.818600 4.568200
202965402 4223.415000 4.302200
444013674 4137.403000 4.651000
4582629 3705.865200 4.381200
411691971 3807.463900 4.674600
389168412 4183.601600 4.474100
366576533 3645.502000 4.628800
284852140 4098.868700 4.690100
98719666 3926.687500 4.742300
248344651 3946.922900 4.688400
293511639 3813.415000 4.658200
287028149 3599.038000 4.182600
399673347 3987.871300 4.737500
380195512 3674.390400 4.030800
98591425 4133.620600 4.466300
366410094 3846.526400 4.658500
168689357 4089.266800 4.481100
281726403 3816.801800 4.335100
23508660 4001.878700 4.670200
130716802 4106.756300 4.631200
436723472 3538.409400 4.614700
176937880 4175.571000 4.663700
411748342 4123.922000 4.655500
411748673 3906.791500 4.756700
294318951 4080.339600 4.693500
27682900 3537.739500 4.413100
111012853 3430.611600 4.248300
12857978 4217.242700 4.465000
334994723 4009.734000 4.112100
434226319 3533.975600 4.578300
9707680 3742.422000 4.694400
8962325 3663.912000 4.449400
435332777 3902.007300 4.720000
392460351 4032.019500 4.675000
437030379 4139.530000 4.668700
366355013 4241.413000 4.659200
152868600 3599.494400 4.270400
429301398 3750.890100 4.568800
389019080 4001.863300 4.700400
366526205 3609.257600 4.045800
366355070 3418.675000 4.206800
399694801 4216.766000 4.481300
130726437 3703.428700 4.760200
12819720 4064.046900 4.692100
248342826 3483.482700 4.487300
468992773 4073.907000 4.671800
203248644 3821.785600 4.694700
168148329 4222.863300 4.659300
248380495 4126.909000 4.640000
366410156 3588.806200 4.532800
23343859 3529.865000 4.351900
38160960 4066.705000 4.665700
98753821 3468.899000 4.401300
293890350 4189.363300 4.508800
290055475 4209.841000 4.671500
98671079 3945.239700 4.283800
168688550 3819.210200 4.701300
