EPIC_ID,TIC_ID,Teff_k,Teff_t,logg_k,logg_t,Teff,e_Teff,logg,e_logg
251625366,66765437,4079.1123,3984.97,4.6943,4.66,3877,157,4.7076,0.0101836
251620682,114959349,3686.2563,4110.67,4.6276,4.65,3845,157,4.75305,0.0078306
251594809,130692036,3715.57,3513.37,4.4958,4.53,3675,157,4.63711,0.0151851
251589349,61099144,3387.9058,3805.1,4.0878,4.62,3558,157,4.64466,0.0117175
251583764,157839046,4099.904,3640.68,4.6897,4.45,3893,157,4.6766,0.0106112
251556906,130726564,3898.9497,3581.08,4.3978,4.46,3714,157,4.65985,0.011978
251405783,117508819,4197.029,3647.33,4.6477,4.63,3911,157,4.6033,0.0138245
251391693,138708881,3985.2014,4170.54,4.7714,4.56,3834,157,4.76422,0.00780124
251390627,117509013,4210.518,3445.21,4.5467,4.81,3928,157,4.56445,0.0710731
251380949,243245808,3716.9492,4073.11,4.7132,4.69,3551,157,4.73112,0.00886646
251378560,386883735,3536.023,4157.63,4.6721,4.29,3488,157,4.82364,0.00412546
251376454,85991333,4131.298,4214.67,4.6875,4.51,3935,157,4.66446,0.0110995
251364386,86105459,4211.001,3800.09,4.662,4.71,3968,157,4.63061,0.0114804
251360907,86119414,3806.396,3360.77,4.6989,4.61,3682,157,4.72076,0.00886078
249253853,225797920,3882.665,3740.11,4.6602,4.67,3717,157,4.71035,0.00939402
249253386,225802247,4218.924,3648.85,4.4165,4.74,4218,122,4.36693,NaN
249165479,23375009,3820.6404,3516.93,4.6897,4.51,3646,157,4.71778,0.00981214
249159746,48559268,4084.8223,3462.9,4.6736,4.83,3727,157,4.67279,0.010866
249114983,185467487,4182.1113,3527.7,4.3229,4.63,3992,122,4.1614,NaN
249101572,186695607,3488.642,3360.44,4.8554,4.97,3394,157,4.88127,0.000595032
248472875,277839726,3374.3464,3544.93,4.9311,4.76,3298,157,4.93725,0.00636838
248470153,374273515,4108.531,3806.4,4.6588,4.7,3858,157,4.65856,0.0126858
248468751,374270448,3845.04,3650.25,4.7182,4.23,3686,157,4.7232,0.00880584
248467000,277810838,3999.8823,3766.04,4.7143,4.61,3827,157,4.71296,0.00987614
248461118,277893315,3749.2432,3244.34,4.739,4.01,3611,157,4.75443,0.011208
248456193,374179626,4109.4287,3353.21,4.6347,4.34,3915,157,4.6485,0.0116469
248449640,374239434,3860.514,3759.33,4.7137,4.7,3748,157,4.74392,0.00871306
248443207,277895144,4047.1616,3703.77,4.7559,4.72,3901,157,4.73936,0.00840527
248442622,277798409,4173.1143,3845.04,4.2693,4.72,4236,122,4.23694,NaN
248441185,281660393,3480.5234,4143.95,4.7418,4.34,3395,157,4.87211,0.000393062
248441185,281660393,3480.5234,4143.95,4.7418,4.34,NaN,NaN,NaN,NaN
248434848,281724334,3576.5706,3426.69,4.6958,4.81,3496,157,4.74296,0.0124343
248431552,277914069,3882.6907,4232.17,4.6601,4.65,3676,157,4.6177,0.0157107
248429400,374314800,4105.465,3555.7,4.6389,4.61,3905,157,4.63328,0.013139
248428938,374296497,3690.7031,4014.39,4.7491,4.7,3564,157,4.7657,0.00701364
248423501,281708045,3789.522,3412.42,4.721,4.43,3712,157,4.77026,0.0106784
248420912,374239116,3500.7615,3658.7,4.0947,4.27,3614,157,4.70542,0.0102608
248418146,281724216,4149.7593,3571.15,4.6792,4.65,3839,157,4.6615,0.0110676
248416759,374349858,4182.4097,3590.6,4.3983,4.6,4174,123,4.45174,NaN
248415644,374296620,3608.901,4145.92,4.6105,4.66,3519,157,4.74725,0.00983256
248407141,47350480,3486.3503,3407.79,4.566,4.81,3469,157,4.77763,0.0119448
246923957,293891048,4227.9966,3609.01,4.6517,4.49,3970,157,4.64583,0.0108755
246915239,293470507,3470.72,3541.89,4.8582,4.76,3393,157,4.86735,0.000684002
246868287,389134424,4187.63,4223.32,4.5756,4.64,3663,157,4.61868,0.0139126
246844308,436703189,3586.5332,3790.25,4.7943,4.69,3308,157,4.81569,0.00769672
246832524,411691321,3820.3655,3713.2,4.6744,4.5,3575,157,4.69011,0.0104639
246767446,436651424,3689.6375,3460.97,4.603,4.58,3438,157,4.71402,0.0108631
246753673,436706244,3284.2114,3598.79,4.971,4.61,3204,157,4.99918,0.013127
246746614,389135510,4221.5327,3650.4,4.6609,4.86,3790,157,4.62964,0.0120325
246745786,436655389,3380.309,3497.53,4.8503,4.82,3216,157,4.89245,0.000717885
246740198,436647823,3860.2808,3515.07,4.7339,4.55,3738,157,4.74749,0.00773554
246728920,436563119,3676.0955,3552.09,4.5239,4.66,3554,157,4.7086,0.00973759
246708982,436728244,3474.9697,3994.46,4.8134,4.66,3296,157,4.85535,0.00414825
246708072,389140134,3403.5369,3514.96,4.8237,4.75,3422,157,4.96971,0.010928
246706378,436706642,3745.1782,3799.08,4.7658,4.67,3640,157,4.80456,0.00507311
246699369,303761200,3481.2744,3934.08,4.9842,4.33,3425,157,4.96108,0.00877001
246697609,432615994,3408.7612,3092.09,4.8925,4.97,3309,157,4.90836,0.00325067
246685007,389120589,3613.528,3323.54,4.5958,4.99,3525,157,4.74361,0.00853439
246667147,436591533,3768.9534,3341.06,4.6488,4.85,3380,157,4.7431,0.00999023
246636441,436674946,3322.3345,3390.8,4.9498,4.87,3257,157,4.95174,0.00684436
246074131,9709224,3548.2095,3748.22,4.8213,4.72,3455,157,4.83826,0.00365881
246050424,9632533,4086.9397,3711.57,4.1318,4.75,4324,128,NaN,NaN
246050424,9632533,4086.9397,3711.57,4.1318,4.75,4324,128,NaN,NaN
246050424,9632533,4086.9397,3711.57,4.1318,4.75,NaN,NaN,NaN,NaN
246043496,9700136,3608.3005,3772.34,4.1768,4.69,3508,157,4.58536,0.0188711
246043496,9700136,3608.3005,3772.34,4.1768,4.69,NaN,NaN,NaN,NaN
246032593,9698910,4197.0864,3553.57,4.5118,4.69,3931,122,4.43475,NaN
246028938,9710056,3472.95,3412.39,4.4085,4.9,3554,157,4.86183,0.00538584
246015696,9633545,4230.3,3562.75,4.3689,4.76,4211,122,4.49085,NaN
245998783,8937880,4187.241,3562.87,4.6659,4.64,4015,122,4.71474,NaN
245998121,9031722,3820.846,3467.09,4.7063,4.73,3681,157,4.71774,0.00892667
245996687,9030125,3581.0796,3722.9,4.4614,4.71,3523,157,4.67534,0.0117517
245993874,8990848,3553.416,3812.8,4.4076,4.61,3782,157,4.81671,0.00603831
245993864,423612380,3888.004,4012.84,4.7178,4.75,3737,157,4.74581,0.0131985
245992995,8919290,4147.195,4033.31,4.6801,4.69,3918,157,4.66233,0.0110163
245973053,9029987,3531.7686,3989.59,4.8287,4.68,3448,157,4.85037,0.00189649
245972583,8988229,3888.8428,3586.54,4.7121,4.65,3731,157,4.73155,0.0100361
245969161,49733052,4134.4697,3372.75,4.4211,4.97,4020,147,4.31154,NaN
245969161,49733052,4134.4697,3372.75,4.4211,4.97,NaN,NaN,NaN,NaN
245966594,8990684,4241.1636,3417.64,4.4518,4.52,4387,123,4.59885,NaN
245966594,8990684,4241.1636,3417.64,4.4518,4.52,NaN,NaN,NaN,NaN
245964562,49646654,4201.898,3903.17,4.6683,4.49,4043,122,4.69889,NaN
245958685,8962243,4205.8975,3590.31,4.6752,4.74,3888,157,4.64776,0.0127297
245957078,49622105,4050.4512,3462.24,4.3968,4.78,4245,122,4.67959,NaN
245945608,49710967,4057.152,3596.22,4.455,4.86,3747,157,4.58681,0.0143767
245943220,49710614,4197.5728,3478.12,4.3934,4.66,4162,126,4.5014,NaN
245943220,49710614,4197.5728,3478.12,4.3934,4.66,NaN,NaN,NaN,NaN
245942429,423611834,4200.3804,3425.86,4.6641,4.42,3829,157,4.63647,0.0121475
245941164,49687088,4000.0447,3556.11,4.6488,4.72,3793,157,4.70221,0.0102671
245940388,49689747,4199.5137,3452.68,4.6618,4.83,3959,157,4.61594,0.0131998
245939622,49554679,4143.64,3564.39,4.5978,4.73,4018,122,4.6229,NaN
245937515,49735644,3468.8171,3701.28,4.426,4.64,3349,157,4.6917,0.0143267
245934486,4602731,3702.27,4207.49,4.8533,4.66,3626,157,4.84057,0.00294298
245932685,4579953,3433.0212,3291.5,4.73,4.92,3326,157,4.80899,0.0104616
245931571,4602704,3636.4153,4159.25,4.4119,4.38,3871,157,4.70551,0.0159436
245930965,4579928,3684.2576,4229.58,4.6816,4.77,3577,157,4.75277,0.00871932
245925841,4520656,4099.7305,3575.46,4.6752,4.34,3931,157,4.66063,0.0143482
245925302,49733378,3453.326,3343.43,4.6511,4.91,3407,157,4.82216,0.00432245
245925061,49738169,3688.5298,4204.13,4.4677,4.55,3857,157,4.68491,0.0120369
245923027,402319933,3582.7607,3471.11,4.7106,4.84,3477,157,4.75495,0.0105669
245921214,5777223,3465.7314,3588.1,4.8063,4.6,3355,157,4.84373,0.00358178
245919176,311085996,3805.725,3602.7,4.7236,4.36,3663,157,4.75317,0.00827585
245916005,434101759,3486.113,3993.72,4.7658,4.67,3401,157,4.84154,0.00307349
245913422,311086052,4074.4526,3599.4,4.6566,4.84,3851,157,4.62758,0.0132805
231526829,23157629,3474.2734,3978.11,4.556,4.55,3346,157,4.73055,0.0103567
231526829,23157629,3474.2734,3978.11,4.556,4.55,NaN,NaN,NaN,NaN
231526829,23157629,3474.2734,3978.11,4.556,4.55,NaN,NaN,NaN,NaN
231526829,23157629,3474.2734,3978.11,4.556,4.55,NaN,NaN,NaN,NaN
231526829,23157629,3474.2734,3978.11,4.556,4.55,NaN,NaN,NaN,NaN
229153363,380674582,3445.055,3346.06,4.5816,4.56,3463,122,4.86779,NaN
229153363,380674582,3445.055,3346.06,4.5816,4.56,3463,122,NaN,NaN
228767376,176877423,4000.8245,3897.11,4.7144,4.75,3808,157,4.70295,0.0110469
228767376,176877423,4000.8245,3897.11,4.7144,4.75,NaN,NaN,NaN,NaN
228762767,176908789,3549.5032,4233.86,4.6447,4.6,3456,157,4.76389,0.0082651
228760197,176941689,4157.6265,3664.65,4.2882,4.74,NaN,NaN,NaN,NaN
228759869,152830089,3753.2034,4201.48,4.7846,4.49,3665,157,4.81547,0.0050619
228754121,176942811,3612.4072,3525.08,4.746,4.9,3485,157,4.77563,0.00775754
228753037,183650482,3412.24,4122.46,4.5842,4.49,3353,157,4.83329,0.0123016
228747561,98581347,4213.3853,4218.37,4.5563,4.64,3912,157,4.60201,0.0132911
228744917,152868661,4199.864,3598.94,4.5868,4.2,3800,157,4.6034,0.013339
228744129,176944028,3717.945,4166.15,4.6618,4.64,3642,157,4.72167,0.015209
228743482,176942891,3708.2075,3431.96,4.4614,4.8,NaN,NaN,4.82326,0.443806
228743482,176942891,3708.2075,3431.96,4.4614,4.8,3928,122,4.67168,NaN
228743446,176940423,3881.4248,4244.99,4.6947,4.49,3723,157,4.71769,0.0103957
228739553,176942929,4036.3848,3697.98,4.6638,4.73,3724,157,4.64192,0.0160361
228736966,98668555,3783.8364,4031.15,4.5815,4.66,3636,157,4.64284,0.0175737
228733130,183651872,3867.0852,3468.82,4.7763,4.43,3745,157,4.78744,0.00930286
228732260,176937904,4141.9116,3682.61,4.6275,4.83,3986,157,4.60507,0.0149858
