EPIC_ID,TIC_ID,Teff_k,Teff_t,logg_k,logg_t,RA,DEC
213439082,2673117,4103.376,3375.92,4.6624,4.42,289.55087445499,-29.42046855177
246923957,293891048,4227.9966,3609.01,4.6517,4.49,77.67404837985,16.98614829091
245973053,9029987,3531.7686,3989.59,4.8287,4.68,355.69442280111,-10.19449513878
205911796,188569804,4242.5005,3726.25,4.6856,4.72,338.85395198036,-17.73306118651
211345931,458656217,4001.2856,3801.13,4.7157,4.63,129.38848875017,10.7393081675
251364386,86105459,4211.001,3800.09,4.662,4.71,139.9634643377,22.26007468911
249114983,185467487,4182.1113,3527.7,4.3229,4.63,232.39904767645,-26.74279481666
201405299,53190651,4226.5693,3483.74,4.2153,4.87,166.62262554271,-0.87840006216
201376427,53207396,4123.4873,4232.56,4.6712,4.2,166.70763790748,-1.31774996389
248442622,277798409,4173.1143,3845.04,4.2693,4.72,155.81970881415,1.20554896513
249253853,225797920,3882.665,3740.11,4.6602,4.67,229.92948116284,-24.97258312459
220209793,380886536,4213.1885,4091.4,4.6687,4.67,19.42866419803,0.35043661866
205924604,409119470,3656.4272,4151.65,4.2284,4.65,334.01280516893,-17.25111352198
211314705,468989066,3607.449,4189.74,4.7787,4.46,129.12991937474,10.14721518308
201184549,38144239,3709.1501,3554.39,4.7704,4.77,171.05682518123,-4.46853720575
246740198,436647823,3860.2808,3515.07,4.7339,4.55,72.44708749705,15.06482976583
249253386,225802247,4218.924,3648.85,4.4165,4.74,230.10019861852,-24.97861882773
205910644,12858118,3426.2656,3479.58,4.8061,4.2,338.25639300074,-17.78041588012
212878593,130713848,3800.0884,4027.59,4.7079,4.7,203.07984055832,-2.82047653902
211336747,458685938,3708.2605,4170.59,4.7477,4.53,132.02583268068,10.57253889
213488455,168686211,3544.6018,3515.14,4.3625,4.43,290.83049950355,-29.24742249537
210456166,435923506,3468.143,4007.06,4.5831,4.69,65.59770543833,14.63808754738
249159746,48559268,4084.8223,3462.9,4.6736,4.83,229.37365519865,-26.19014362098
249165479,23375009,3820.6404,3516.93,4.6897,4.51,236.47446347224,-26.1165616357
210349838,243015707,3378.5652,3753.2,4.667,4.78,60.99813227757,12.21688723
248468751,374270448,3845.04,3650.25,4.7182,4.23,159.33617485959,2.12120201951
251594809,130692036,3715.57,3513.37,4.4958,4.53,202.82006300722,-1.43894079638
251589349,61099144,3387.9058,3805.1,4.0878,4.62,205.48687758725,-1.55848514618
251583764,157839046,4099.904,3640.68,4.6897,4.45,204.0793647544,-1.67906794967
245998121,9031722,3820.846,3467.09,4.7063,4.73,355.83031052724,-9.53400837785
228728919,176940537,3537.5957,3523.53,4.6599,4.53,183.74001737476,-9.91783003068
251380949,243245808,3716.9492,4073.11,4.7132,4.69,136.87319243008,23.51637526537
212295535,405672718,3753.1538,3973.82,4.3488,4.73,204.16880050218,-17.66629190202
202067525,387143067,3793.1123,4168.81,4.7348,4.6,102.79931811895,15.7630673569
202084610,385814111,4001.6108,4205.9,4.7106,4.68,95.38651415742,15.57310579209
211537249,27679382,4200.127,4215.29,4.6621,4.64,123.66716117729,13.66332619729
245934486,4602731,3702.27,4207.49,4.8533,4.66,348.91315472095,-11.49243389009
205929676,240663515,4239.5273,3452.68,4.5019,4.01,339.5185154496,-17.06476332925
201183294,38132289,4075.4885,3950.18,4.6596,4.64,170.30113942305,-4.49856390694
246050424,9632533,4086.9397,3711.57,4.1318,4.75,357.1569001118,-8.24599704471
211314440,437038450,3381.4133,4246.56,4.7004,4.64,132.88395900122,10.14221485737
220167475,269486084,4193.135,3662.13,4.6683,4.39,13.47422532608,-1.30398579853
220196985,248349273,4112.401,3943.34,4.6274,4.7,17.29658127517,-0.11749905166
251390627,117509013,4210.518,3445.21,4.5467,4.81,138.34860965938,24.19136741891
220243722,336956728,4130.032,4240.13,4.6447,4.56,18.82082535567,1.43468240746
202135872,438400734,3464.6091,3385.77,4.7606,4.41,97.33967547457,15.33538708504
248443207,277895144,4047.1616,3703.77,4.7559,4.72,157.50317506807,1.22841459223
248428938,374296497,3690.7031,4014.39,4.7491,4.7,159.79792283472,0.69231294488
228716992,111015544,3515.0718,4080.82,4.5456,4.67,189.37981431886,-10.50148572667
245925302,49733378,3453.326,3343.43,4.6511,4.91,352.41900402391,-11.94655146535
220208389,399702563,4024.05,3583.41,4.6807,4.68,20.57025306354,0.29848933392
205961974,240812235,3758.0464,4189.45,4.7209,4.66,340.38734053092,-15.98094334324
206017207,145962434,3410.2268,3652.79,4.4241,4.84,341.71519327367,-14.32736212024
248418146,281724216,4149.7593,3571.15,4.6792,4.65,162.46910286275,0.28018710348
205911100,437697980,4207.676,4164.6,4.6341,4.58,333.23124510883,-17.76124943668
205938176,12784778,4051.4832,3312.35,4.6557,4.74,337.54756842597,-16.76744831962
201372271,443588692,3771.4639,3381.16,4.5933,4.93,168.29339489849,-1.38000049093
245964562,49646654,4201.898,3903.17,4.6683,4.49,351.07326242547,-10.42960310936
251378560,386883735,3536.023,4157.63,4.6721,4.29,136.69632161898,23.34728087242
201248254,38159702,3658.7505,3554.88,4.3971,4.76,171.17076502234,-3.23454739695
228716608,98591319,4170.588,3556.51,4.5266,4.7,185.07806725526,-10.52017363487
201149639,173163505,4101.4097,4012.66,4.5385,4.66,173.2612350936,-5.30351032172
211382837,366484881,4121.6245,3986.0,4.625,4.38,126.8929478754,11.36892962892
205908577,188543818,4189.722,3744.96,4.6521,4.62,338.79586987016,-17.86384497443
211324854,366409776,4201.7134,3763.93,4.5256,4.56,126.40530749868,10.34865851666
211376293,443996160,3818.0864,3572.26,4.487,4.87,131.17635055532,11.26138979195
210420401,435918916,3540.1875,3314.74,4.7663,4.91,65.28269486967,13.92465020658
212298996,357493637,3719.2883,4213.76,4.4913,4.67,200.45177518134,-17.56118702619
245916005,434101759,3486.113,3993.72,4.7658,4.67,353.07850903877,-12.49913999986
