EPIC_ID,TIC_ID,RA,DEC,(BP-RP)_0,Amag,Dist,Plx,Gmag,AG,BP-RP,E(BP-RP),Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase
228750239,TIC 176877607,183.049578,-8.912651,1.088077,7.233529416704055,212.16557401396048,4.7133,15.720204,1.8533,2.116577,1.0285,4908.4,4.8684,7,25.076729018197057,0.08730326293022829,0.312508997743862,0.02777794253324828,24.328024046761648,39.6687388420105,13.13706636428833
245929889,TIC 4579825,348.224118,-11.722362,2.278687,9.693449173503204,181.49479109949544,5.5098,16.39867,0.4109,2.537787,0.2591,3463.9,4.8283,0,54.708567075064366,0.0,0,0,0.0,0,0
245990847,TIC 8940296,354.402495,-9.718214,1.379781,6.494976849691039,671.2310377231843,1.4898,15.715137,0.0858,1.425381,0.0456,4343.1,4.332,0,54.70886315310372,0.0,0,0,0.0,0,0
246860716,TIC 436641100,72.213824,16.368102,1.5078379999999998,6.984258404014245,350.80333964779345,2.8506,15.672877,0.9633,2.027538,0.5197,4214.7,4.5074,18,204.3950837215209,0.06674760155381894,0.2361314264999237,0.009259774061774806,16425.178250625428,113146.02722220373,-1404.1703559388536
201203954,TIC 38143505,170.969457,-4.011766,2.78594,11.007472017163456,98.3139163348572,10.1715,16.824547,0.854,3.38814,0.6022,3207.8,4.9,1,24.56256214474115,0.2708336183393385,0.2708336183393385,0.2708336183393385,118.86265277862549,118.86265277862549,118.86265277862549
246749027,TIC 436566434,70.794999,15.168439,1.1103619999999998,6.037409886311249,459.4110350530621,2.1767,15.601217,1.2528,1.792462,0.6821,4783.3,4.4206,2,52.04211072900375,0.22916511203970913,0.37499439200041706,0.08333583207900119,121.02222442626953,238.72597217559814,3.318476676940918
201918478,TIC 350498104,177.258184,7.71907,1.612207,7.493334065922802,355.53027340278027,2.8127,15.608417,0.3607,1.807707,0.1955,4113.1,4.6611,22,77.34499995284659,0.2516995496876213,1.9237817247972089,0.0092600080183729,5773.129438812082,124918.00537109375,16.071271896362305
220245588,TIC 344298963,22.849131,1.477143,1.6184,7.679600536811176,332.1376378371197,3.0108,15.667791,0.3816,1.826,0.2076,4113.6,4.6758,26,123.18145103702909,0.04585283587301511,0.19444977943021513,0.00925941869354574,285.75830963941723,3219.3679809570312,10.918498039245605
228722027,TIC 203248687,184.587095,-10.2529,2.177233,9.59139317598546,152.04962899890523,6.5768,16.09162,0.5903,2.539933,0.3627,3530.8,4.8219,14,76.60211815378011,0.13144871712181935,0.5416554718360658,0.00925950812506926,7538.082828692028,73716.17431640625,4.840397834777832
249147589,TIC 23629136,237.112264,-26.341869,2.471308,10.789765263876024,92.97914477782632,10.7551,16.329693,0.698,2.925208,0.4539,3332.2,4.9798,0,26.33374606116695,0.0,0,0,0.0,0,0
211322184,TIC 366355539,126.056416,10.297094,2.382697,10.30067108190957,121.98245892240696,8.1979,16.282858,0.5507,2.735797,0.3531,3385.1,4.9212,0,48.83386417028487,0.0,0,0,0.0,0,0
211383732,TIC 443996198,131.168341,11.384028,2.62687,10.191685892981535,196.645232336342,5.0853,16.660103,0.0,2.62687,0.0,nan,nan,1,48.834059746845696,0.2291754218620099,0.2291754218620099,0.2291754218620099,16.260337829589844,16.260337829589844,16.260337829589844
220265249,TIC 399732907,21.235315,1.895161,2.0312,8.90188941594946,208.6898451521349,4.7918,15.914296,0.4149,2.2751,0.2439,3617.3,4.6914,31,177.8070353283906,0.283763343901668,4.2711055053569,0.009259398809717823,-50868.104184972275,401876.220703125,-1257381.5141928643
201159680,TIC 82055123,176.752247,-5.064044,1.855366,7.800139510410464,340.1244855617156,2.9401,15.880329,0.422,2.095666,0.2403,3843.6,4.5711,0,25.398071415296727,0.0,0,0,0.0,0,0
206019671,TIC 146801027,342.970014,-14.255714,1.644568,7.638004919403601,346.3803255975061,2.887,15.661071,0.3253,1.821968,0.1774,4066.0,4.6382,32,105.63450901181363,0.08390985663461947,0.4791562234167941,0.009258789967134362,360.2059133350849,4660.302352905273,16.596484184265137
210379141,TIC 389082541,63.10436,12.974574,2.431992,10.384130527139805,86.10891055006371,11.6132,15.575171,0.5158,2.763392,0.3314,3282.6,4.5005,25,328.26702874136413,0.11167167275746578,0.8264290737279225,0.009259654181278165,169.95972681045532,1120.8459854125977,10.31714677810669
228713707,TIC 98724471,186.86442,-10.670346,2.224268,9.06702270325496,259.9157872849197,3.8474,16.514286,0.3731,2.457168,0.2329,3471.3,4.5366,0,24.999661523743725,0.0,0,0,0.0,0,0
228754725,TIC 176944115,184.034261,-8.714055,2.043017,8.857960137245623,238.2938162754676,4.1965,16.293924,0.5504,2.370717,0.3277,3613.9,4.855,2,24.9995195475135,0.1979158989925054,0.3125002304275313,0.0833315675574795,171.95327281951904,243.08154582977295,100.82499980926514
246775289,TIC 303593224,75.284473,15.47156,1.261638,6.221092311389837,507.1508266558474,1.9718,15.720378,0.9736,1.783938,0.5223,4539.4,4.5353,2,52.042305711445806,0.2604162852171612,0.3749972317139054,0.14583533872041698,618.8230156898499,1218.2052612304688,19.440770149230957
245979795,TIC 49783859,353.051289,-10.013618,1.337361,6.589439562876013,652.6989099928203,1.5321,15.714004,0.051,1.364061,0.0267,4565.9,4.6303,0,54.708801208736304,0.0,0,0,0.0,0,0
246066230,TIC 9098864,356.982281,-7.884292,1.40076,6.636727913441394,554.5389009038985,1.8033,15.542288,0.1859,1.49856,0.0978,4428.1,4.5893,4,109.41821657698551,0.22916692937724292,0.3124996405094862,0.10416905395686626,-775695.1921460298,164338.40873963776,-1680121.3717932703
246822607,TIC 293831021,77.451086,15.979858,1.539251,7.3606186641450275,324.2331885091758,3.0842,15.668206,0.7533,1.946351,0.4071,4244.8,4.5825,15,50.64283977829109,0.03673096290018899,0.09954341485126861,0.011574774748623895,16073.035830656687,66029.50439453125,25.66697597503662
205959792,TIC 240663583,339.453888,-16.050483,1.792011,7.385087454372028,369.0036900369004,2.71,15.569441,0.3492,1.988111,0.1961,3830.9,4.3576,12,134.87998959339734,0.4293944764109104,1.4930531905552016,0.04166648314503618,1503.7734226411187,14896.176147460938,-6535.096530883783
201077030,TIC 152822348,181.485108,-7.24663,1.5846829999999998,7.383465503532937,361.1803373424351,2.7687,15.583786,0.4117,1.807983,0.2233,4157.0,4.6612,4,25.076639912761493,0.14062621299467537,0.3402785030721134,0.034723063997262216,21.955853700637817,31.12795352935791,15.445125102996826
245916424,TIC 434099418,352.721407,-12.471905,1.705281,7.740276259892704,380.9378690335606,2.6251,15.644547,0.0,1.705281,0.0,nan,nan,4,109.41742469155702,0.08333461219444871,0.08333475422114134,0.08333447016775608,-2173.722481983956,2326.565759761228,-7593.106016208981
210367189,TIC 435332419,54.754715,12.675876,2.239484,8.80032637014042,208.3116342047704,4.8005,16.194094,0.8002,2.743784,0.5043,3475.8,4.5022,29,229.85766024506938,0.16691429953652914,0.7824448489486713,0.009259703004317998,4126.936868430991,88584.1761563584,-37511.8823706299
210398984,TIC 434237731,63.924114,13.443379,2.433528,9.826913661714654,144.7157059955717,6.9101,16.347492,0.718,2.905828,0.4723,3296.3,4.4117,1,52.04123159346341,0.27082609260560275,0.27082609260560275,0.27082609260560275,16.968214511871338,16.968214511871338,16.968214511871338
245929207,TIC 4579834,348.315299,-11.756657,1.369066,6.465143873193624,719.8387561186295,1.3892,15.98232,0.231,1.490166,0.1211,4488.8,4.5689,0,54.7085702797242,0.0,0,0,0.0,0,0
246047458,TIC 9707751,358.031762,-8.313237,1.211075,6.224905709231592,815.3946510110894,1.2264,15.785445,0.0037,1.212975,0.0019,4682.5,4.5367,0,54.25070895796125,0.0,0,0,0.0,0,0
220179815,TIC 269504517,13.81334,-0.796076,2.195373,9.441968195509787,195.8902231189641,5.1049,16.377232,0.4752,2.487673,0.2923,3477.4,4.6504,0,47.54191452859504,0.0,0,0,0.0,0,0
246054782,TIC 9063612,356.362889,-8.147266,1.542457,7.222945102491318,375.37537537537537,2.664,15.513674,0.4184,1.767657,0.2252,4190.5,4.6318,40,159.62388769937797,0.06018562366374454,0.5000104322098196,0.009258993243292934,-7375.36896072973,20323.44207763672,-207696.08840688734
251554125,TIC 130725494,203.501083,-2.285258,2.110207,9.080521453737658,189.61299986727087,5.2739,15.946162,0.4763,2.399007,0.2888,3564.5,4.6912,17,26.22937605551124,0.09395519298173252,0.39584290389302623,0.02777776260745668,4139.090552750756,32579.763793945312,15.643739700317383
228730880,TIC 98664567,185.918115,-9.823454,1.325375,7.001633090586241,447.3672437704112,2.2353,15.404054,0.1491,1.404175,0.0788,4465.5,4.5245,0,24.9996105968919,0.0,0,0,0.0,0,0
245928456,TIC 4619759,349.236642,-11.793852,1.276253,6.457582770063384,673.0380939561179,1.4858,15.616581,0.0188,1.286153,0.0099,4575.7,4.5381,0,109.4170271709877,0.0,0,0,0.0,0,0
205978711,TIC 240662581,339.513173,-15.460217,1.878737,8.56447566323566,234.5765892563922,4.263,15.910399,0.4945,2.162337,0.2836,3794.2,4.7402,14,134.8800375612252,0.12400582527210904,0.2847143916042114,0.0277777226242506,419.7167006499344,3806.188201904297,-785.777726764574
245967344,TIC 49785515,353.127547,-10.352187,2.397502,10.102521371434731,142.83877787141654,7.0009,16.461752,0.585,2.770802,0.3733,3327.0,4.5589,0,54.7087979874625,0.0,0,0,0.0,0,0
249131375,TIC 388671505,231.396355,-26.541766,1.5659,7.352896867672014,316.5458516666139,3.1591,15.63988,0.7848,1.9943,0.4284,4231.5,4.5883,8,27.844882873105234,0.06336691222333002,0.17823753465791015,0.009259089668375964,259.6782922744751,1216.6241645812988,33.15258026123047
245939009,TIC 49689761,351.963117,-11.270889,2.338464,9.747479096300184,161.03837544486854,6.2097,16.299526,0.5174,2.669364,0.3309,3436.9,4.8417,0,54.708732054188886,0.0,0,0,0.0,0,0
